300	80	1,2,3,4,5,6,10,12,15,20,25,30,50,60,75,100,150,300
301	252	1,7,43,301
302	150	1,2,151,302
303	200	1,3,101,303
304	144	1,2,4,8,16,19,38,76,152,304
305	240	1,5,61,305
306	96	1,2,3,6,9,17,18,34,51,102,153,306
307	306	1,307
308	120	1,2,4,7,11,14,22,28,44,77,154,308
309	204	1,3,103,309
310	120	1,2,5,10,31,62,155,310
311	310	1,311
312	96	1,2,3,4,6,8,12,13,24,26,39,52,78,104,156,312
313	312	1,313
314	156	1,2,157,314
315	144	1,3,5,7,9,15,21,35,45,63,105,315
316	156	1,2,4,79,158,316
317	316	1,317
318	104	1,2,3,6,53,106,159,318
319	280	1,11,29,319
320	128	1,2,4,5,8,10,16,20,32,40,64,80,160,320
321	212	1,3,107,321
322	132	1,2,7,14,23,46,161,322
323	288	1,17,19,323
324	108	1,2,3,4,6,9,12,18,27,36,54,81,108,162,324
325	240	1,5,13,25,65,325
326	162	1,2,163,326
327	216	1,3,109,327
328	160	1,2,4,8,41,82,164,328
329	276	1,7,47,329
330	80	1,2,3,5,6,10,11,15,22,30,33,55,66,110,165,330
331	330	1,331
332	164	1,2,4,83,166,332
333	216	1,3,9,37,111,333
334	166	1,2,167,334
335	264	1,5,67,335
336	96	1,2,3,4,6,7,8,12,14,16,21,24,28,42,48,56,84,112,168,336
337	336	1,337
338	156	1,2,13,26,169,338
339	224	1,3,113,339
340	128	1,2,4,5,10,17,20,34,68,85,170,340
341	300	1,11,31,341
342	108	1,2,3,6,9,18,19,38,57,114,171,342
343	294	1,7,49,343
344	168	1,2,4,8,43,86,172,344
345	176	1,3,5,15,23,69,115,345
346	172	1,2,173,346
347	346	1,347
348	112	1,2,3,4,6,12,29,58,87,116,174,348
349	348	1,349
350	120	1,2,5,7,10,14,25,35,50,70,175,350
351	216	1,3,9,13,27,39,117,351
352	160	1,2,4,8,11,16,22,32,44,88,176,352
353	352	1,353
354	116	1,2,3,6,59,118,177,354
355	280	1,5,71,355
356	176	1,2,4,89,178,356
357	192	1,3,7,17,21,51,119,357
358	178	1,2,179,358
359	358	1,359
360	96	1,2,3,4,5,6,8,9,10,12,15,18,20,24,30,36,40,45,60,72,90,120,180,360
361	342	1,19,361
362	180	1,2,181,362
363	220	1,3,11,33,121,363
364	144	1,2,4,7,13,14,26,28,52,91,182,364
365	288	1,5,73,365
366	120	1,2,3,6,61,122,183,366
367	366	1,367
368	176	1,2,4,8,16,23,46,92,184,368
369	240	1,3,9,41,123,369
370	144	1,2,5,10,37,74,185,370
371	312	1,7,53,371
372	120	1,2,3,4,6,12,31,62,93,124,186,372
373	372	1,373
374	160	1,2,11,17,22,34,187,374
375	200	1,3,5,15,25,75,125,375
376	184	1,2,4,8,47,94,188,376
377	336	1,13,29,377
378	108	1,2,3,6,7,9,14,18,21,27,42,54,63,126,189,378
379	378	1,379
380	144	1,2,4,5,10,19,20,38,76,95,190,380
381	252	1,3,127,381
382	190	1,2,191,382
383	382	1,383
384	128	1,2,3,4,6,8,12,16,24,32,48,64,96,128,192,384
385	240	1,5,7,11,35,55,77,385
386	192	1,2,193,386
387	252	1,3,9,43,129,387
388	192	1,2,4,97,194,388
389	388	1,389
390	96	1,2,3,5,6,10,13,15,26,30,39,65,78,130,195,390
391	352	1,17,23,391
392	168	1,2,4,7,8,14,28,49,56,98,196,392
393	260	1,3,131,393
394	196	1,2,197,394
395	312	1,5,79,395
396	120	1,2,3,4,6,9,11,12,18,22,33,36,44,66,99,132,198,396
397	396	1,397
398	198	1,2,199,398
399	216	1,3,7,19,21,57,133,399
400	160	1,2,4,5,8,10,16,20,25,40,50,80,100,200,400
401	400	1,401
402	132	1,2,3,6,67,134,201,402
403	360	1,13,31,403
404	200	1,2,4,101,202,404
405	216	1,3,5,9,15,27,45,81,135,405
406	168	1,2,7,14,29,58,203,406
407	360	1,11,37,407
408	128	1,2,3,4,6,8,12,17,24,34,51,68,102,136,204,408
409	408	1,409
410	160	1,2,5,10,41,82,205,410
411	272	1,3,137,411
412	204	1,2,4,103,206,412
413	348	1,7,59,413
414	132	1,2,3,6,9,18,23,46,69,138,207,414
415	328	1,5,83,415
416	192	1,2,4,8,13,16,26,32,52,104,208,416
417	276	1,3,139,417
418	180	1,2,11,19,22,38,209,418
419	418	1,419
420	96	1,2,3,4,5,6,7,10,12,14,15,20,21,28,30,35,42,60,70,84,105,140,210,420
421	420	1,421
422	210	1,2,211,422
423	276	1,3,9,47,141,423
424	208	1,2,4,8,53,106,212,424
425	320	1,5,17,25,85,425
426	140	1,2,3,6,71,142,213,426
427	360	1,7,61,427
428	212	1,2,4,107,214,428
429	240	1,3,11,13,33,39,143,429
430	168	1,2,5,10,43,86,215,430
431	430	1,431
432	144	1,2,3,4,6,8,9,12,16,18,24,27,36,48,54,72,108,144,216,432
433	432	1,433
434	180	1,2,7,14,31,62,217,434
435	224	1,3,5,15,29,87,145,435
436	216	1,2,4,109,218,436
437	396	1,19,23,437
438	144	1,2,3,6,73,146,219,438
439	438	1,439
440	160	1,2,4,5,8,10,11,20,22,40,44,55,88,110,220,440
441	252	1,3,7,9,21,49,63,147,441
442	192	1,2,13,17,26,34,221,442
443	442	1,443
444	144	1,2,3,4,6,12,37,74,111,148,222,444
445	352	1,5,89,445
446	222	1,2,223,446
447	296	1,3,149,447
448	192	1,2,4,7,8,14,16,28,32,56,64,112,224,448
449	448	1,449
450	120	1,2,3,5,6,9,10,15,18,25,30,45,50,75,90,150,225,450
451	400	1,11,41,451
452	224	1,2,4,113,226,452
453	300	1,3,151,453
454	226	1,2,227,454
455	288	1,5,7,13,35,65,91,455
456	144	1,2,3,4,6,8,12,19,24,38,57,76,114,152,228,456
457	456	1,457
458	228	1,2,229,458
459	288	1,3,9,17,27,51,153,459
460	176	1,2,4,5,10,20,23,46,92,115,230,460
461	460	1,461
462	120	1,2,3,6,7,11,14,21,22,33,42,66,77,154,231,462
463	462	1,463
464	224	1,2,4,8,16,29,58,116,232,464
465	240	1,3,5,15,31,93,155,465
466	232	1,2,233,466
467	466	1,467
468	144	1,2,3,4,6,9,12,13,18,26,36,39,52,78,117,156,234,468
469	396	1,7,67,469
470	184	1,2,5,10,47,94,235,470
471	312	1,3,157,471
472	232	1,2,4,8,59,118,236,472
473	420	1,11,43,473
474	156	1,2,3,6,79,158,237,474
475	360	1,5,19,25,95,475
476	192	1,2,4,7,14,17,28,34,68,119,238,476
477	312	1,3,9,53,159,477
478	238	1,2,239,478
479	478	1,479
480	128	1,2,3,4,5,6,8,10,12,15,16,20,24,30,32,40,48,60,80,96,120,160,240,480
481	432	1,13,37,481
482	240	1,2,241,482
483	264	1,3,7,21,23,69,161,483
484	220	1,2,4,11,22,44,121,242,484
485	384	1,5,97,485
486	162	1,2,3,6,9,18,27,54,81,162,243,486
487	486	1,487
488	240	1,2,4,8,61,122,244,488
489	324	1,3,163,489
490	168	1,2,5,7,10,14,35,49,70,98,245,490
491	490	1,491
492	160	1,2,3,4,6,12,41,82,123,164,246,492
493	448	1,17,29,493
494	216	1,2,13,19,26,38,247,494
495	240	1,3,5,9,11,15,33,45,55,99,165,495
496	240	1,2,4,8,16,31,62,124,248,496
497	420	1,7,71,497
498	164	1,2,3,6,83,166,249,498
499	498	1,499
500	200	1,2,4,5,10,20,25,50,100,125,250,500
